Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,5,1,5,1,0,0,0,0,0,0,0,0,0,0
4,10,2,10,2,0,0,0,0,0,0,0,0,0,0
5,18,4,18,4,0,0,0,0,0,0,0,0,0,0
6,40,8,40,8,0,0,0,0,0,0,0,0,0,0
7,85,18,85,18,0,0,0,0,0,0,0,0,0,0
8,113,35,113,35,0,0,0,0,0,0,0,0,0,0
9,148,58,148,58,0,0,0,0,0,0,0,0,0,0
10,208,91,208,91,0,0,0,0,0,0,0,0,0,0
11,278,135,278,135,0,0,0,0,0,0,0,0,0,0
12,412,203,412,203,0,0,0,0,0,0,0,0,0,0
13,606,303,606,303,0,0,0,0,0,0,0,0,0,0
14,854,440,854,440,0,0,0,0,0,0,0,0,0,0
15,1220,639,1220,639,0,0,0,0,0,0,0,0,0,0
16,1730,919,1730,919,0,0,0,0,0,0,0,0,0,0
17,2246,1264,2246,1264,0,0,0,0,0,0,0,0,0,0
18,2971,1726,2971,1726,0,0,0,0,0,0,0,0,0,0
19,3815,2308,3815,2308,0,0,0,0,0,0,0,0,0,0
20,5356,3170,5356,3170,0,0,0,0,0,0,0,0,0,0
21,7340,4335,7340,4335,0,0,0,0,0,0,0,0,0,0
22,10622,6073,10622,6073,0,0,0,0,0,0,0,0,0,0
23,15016,8500,15016,8500,0,0,0,0,0,0,0,0,0,0
24,18993,11371,18993,11371,0,0,0,0,0,0,0,0,0,0
25,27942,15982,27942,15982,0,0,0,0,0,0,0,0,0,0
26,38426,22096,38426,22096,0,0,0,0,0,0,0,0,0,0
27,53581,30688,53581,30688,0,0,0,0,0,0,0,0,0,0
28,67770,40932,67770,40932,0,0,0,0,0,0,0,0,0,0
29,85715,53890,85715,53890,0,0,0,0,0,0,0,0,0,0
30,121990,73673,121990,73673,0,0,0,0,0,0,0,0,0,0
31,153708,96851,153708,96851,0,0,0,0,0,0,0,0,0,0
32,205477,129007,205477,129007,0,0,0,0,0,0,0,0,0,0
33,286517,174952,286517,174952,0,0,0,0,0,0,0,0,0,0
34,395394,237985,395394,237985,0,0,0,0,0,0,0,0,0,0
35,553235,326870,553235,326870,0,0,0,0,0,0,0,0,0,0
36,792675,455884,792675,455884,0,0,0,0,0,0,0,0,0,0
37,1067258,623614,1067258,623614,0,0,0,0,0,0,0,0,0,0
38,1365236,831516,1365236,831516,0,0,0,0,0,0,0,0,0,0
