Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,5,1,5,1,0,0,0,0,0,0,0,0,0,0
4,9,2,9,2,0,0,0,0,0,0,0,0,0,0
5,18,4,18,4,0,0,0,0,0,0,0,0,0,0
6,31,7,31,7,0,0,0,0,0,0,0,0,0,0
7,66,14,66,14,0,0,0,0,0,0,0,0,0,0
8,95,30,95,30,0,0,0,0,0,0,0,0,0,0
9,135,52,135,52,0,0,0,0,0,0,0,0,0,0
10,185,81,185,81,0,0,0,0,0,0,0,0,0,0
11,237,117,237,117,0,0,0,0,0,0,0,0,0,0
12,321,167,321,167,0,0,0,0,0,0,0,0,0,0
13,423,233,423,233,0,0,0,0,0,0,0,0,0,0
14,580,325,580,325,0,0,0,0,0,0,0,0,0,0
15,832,460,832,460,0,0,0,0,0,0,0,0,0,0
16,1180,652,1180,652,0,0,0,0,0,0,0,0,0,0
17,1487,876,1487,876,0,0,0,0,0,0,0,0,0,0
18,2024,1196,2024,1196,0,0,0,0,0,0,0,0,0,0
19,2599,1592,2599,1592,0,0,0,0,0,0,0,0,0,0
20,3462,2133,3462,2133,0,0,0,0,0,0,0,0,0,0
21,4861,2915,4861,2915,0,0,0,0,0,0,0,0,0,0
22,6335,3891,6335,3891,0,0,0,0,0,0,0,0,0,0
23,9320,5429,9320,5429,0,0,0,0,0,0,0,0,0,0
24,12951,7502,12951,7502,0,0,0,0,0,0,0,0,0,0
25,16318,9963,16318,9963,0,0,0,0,0,0,0,0,0,0
26,22206,13474,22206,13474,0,0,0,0,0,0,0,0,0,0
27,28086,17720,28086,17720,0,0,0,0,0,0,0,0,0,0
28,39569,24101,39569,24101,0,0,0,0,0,0,0,0,0,0
29,58214,33709,58214,33709,0,0,0,0,0,0,0,0,0,0
30,73629,44839,73629,44839,0,0,0,0,0,0,0,0,0,0
31,96307,59712,96307,59712,0,0,0,0,0,0,0,0,0,0
32,138452,82287,138452,82287,0,0,0,0,0,0,0,0,0,0
33,178437,109589,178437,109589,0,0,0,0,0,0,0,0,0,0
34,242817,147989,242817,147989,0,0,0,0,0,0,0,0,0,0
35,332757,200826,332757,200826,0,0,0,0,0,0,0,0,0,0
36,443232,270039,443232,270039,0,0,0,0,0,0,0,0,0,0
37,607406,366487,607406,366487,0,0,0,0,0,0,0,0,0,0
38,811980,493556,811980,493556,0,0,0,0,0,0,0,0,0,0
