Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,1,2,1,0,0,0,0,0,0,0,0,0,0
3,5,2,5,2,0,0,0,0,0,0,0,0,0,0
4,10,5,10,5,0,0,0,0,0,0,0,0,0,0
5,24,13,24,13,0,0,0,0,0,0,0,0,0,0
6,62,34,62,34,0,0,0,0,0,0,0,0,0,0
7,145,82,145,82,0,0,0,0,0,0,0,0,0,0
8,196,206,196,206,0,0,0,0,0,0,0,0,0,0
9,235,343,235,343,0,0,0,0,0,0,0,0,0,0
10,308,533,308,533,0,0,0,0,0,0,0,0,0,0
11,400,779,400,779,0,0,0,0,0,0,0,0,0,0
12,515,1094,515,1094,0,0,0,0,0,0,0,0,0,0
13,654,1490,654,1490,0,0,0,0,0,0,0,0,0,0
14,841,2004,841,2004,0,0,0,0,0,0,0,0,0,0
15,1114,2697,1114,2697,0,0,0,0,0,0,0,0,0,0
16,1254,3394,1254,3394,0,0,0,0,0,0,0,0,0,0
17,1561,4328,1561,4328,0,0,0,0,0,0,0,0,0,0
18,1804,5351,1804,5351,0,0,0,0,0,0,0,0,0,0
19,2075,6523,2075,6523,0,0,0,0,0,0,0,0,0,0
20,2562,8048,2562,8048,0,0,0,0,0,0,0,0,0,0
21,3421,10188,3421,10188,0,0,0,0,0,0,0,0,0,0
22,3866,12343,3866,12343,0,0,0,0,0,0,0,0,0,0
23,5181,15591,5181,15591,0,0,0,0,0,0,0,0,0,0
24,6968,19968,6968,19968,0,0,0,0,0,0,0,0,0,0
25,9233,25717,9233,25717,0,0,0,0,0,0,0,0,0,0
26,11173,32273,11173,32273,0,0,0,0,0,0,0,0,0,0
27,14357,41043,14357,41043,0,0,0,0,0,0,0,0,0,0
28,18736,52601,18736,52601,0,0,0,0,0,0,0,0,0,0
29,21547,64779,21547,64779,0,0,0,0,0,0,0,0,0,0
30,29520,83525,29520,83525,0,0,0,0,0,0,0,0,0,0
31,34981,103746,34981,103746,0,0,0,0,0,0,0,0,0,0
32,42327,128582,42327,128582,0,0,0,0,0,0,0,0,0,0
33,56930,164349,56930,164349,0,0,0,0,0,0,0,0,0,0
34,72586,208470,72586,208470,0,0,0,0,0,0,0,0,0,0
35,91459,263636,91459,263636,0,0,0,0,0,0,0,0,0,0
36,119812,337717,119812,337717,0,0,0,0,0,0,0,0,0,0
37,150364,428175,150364,428175,0,0,0,0,0,0,0,0,0,0
38,201488,554481,201488,554481,0,0,0,0,0,0,0,0,0,0
39,258912,712649,258912,712649,0,0,0,0,0,0,0,0,0,0
40,344354,927546,344354,927546,0,0,0,0,0,0,0,0,0,0
41,411503,1166872,411503,1166872,0,0,0,0,0,0,0,0,0,0
42,541127,1502247,541127,1502247,0,0,0,0,0,0,0,0,0,0
43,619591,1851274,619591,1851274,0,0,0,0,0,0,0,0,0,0
44,783782,2325261,783782,2325261,0,0,0,0,0,0,0,0,0,0
45,960133,2893503,960133,2893503,0,0,0,0,0,0,0,0,0,0
46,1142559,3555995,1142559,3555995,0,0,0,0,0,0,0,0,0,0
47,1353933,4338648,1353933,4338648,0,0,0,0,0,0,0,0,0,0
48,1570562,5232244,1570562,5232244,0,0,0,0,0,0,0,0,0,0
49,1798294,6245256,1798294,6245256,0,0,0,0,0,0,0,0,0,0
50,2211902,7558011,2211902,7558011,0,0,0,0,0,0,0,0,0,0
51,2643223,9095283,2643223,9095283,0,0,0,0,0,0,0,0,0,0
52,3515487,11289158,3515487,11289158,0,0,0,0,0,0,0,0,0,0
53,4042810,13574224,4042810,13574224,0,0,0,0,0,0,0,0,0,0
54,5437579,16990398,5437579,16990398,0,0,0,0,0,0,0,0,0,0
55,7068852,21340462,7068852,21340462,0,0,0,0,0,0,0,0,0,0
56,9578293,27384331,9578293,27384331,0,0,0,0,0,0,0,0,0,0
57,11781299,34376484,11781299,34376484,0,0,0,0,0,0,0,0,0,0
58,15610223,44096057,15610221,44096056,2,1,0,0,0,0,0,0,0,0
59,19981088,56272031,19981083,56272028,5,3,0,0,0,0,0,0,0,0
60,23777502,70058982,23777489,70058975,13,7,0,0,0,0,0,0,0,0
61,28414129,86584347,28414098,86584330,31,17,0,0,0,0,0,0,0,0
