Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,4,1,4,1,0,0,0,0,0,0,0,0,0,0
4,7,1,7,1,0,0,0,0,0,0,0,0,0,0
5,12,3,12,3,0,0,0,0,0,0,0,0,0,0
6,23,5,23,5,0,0,0,0,0,0,0,0,0,0
7,44,10,44,10,0,0,0,0,0,0,0,0,0,0
8,63,21,63,21,0,0,0,0,0,0,0,0,0,0
9,89,35,89,35,0,0,0,0,0,0,0,0,0,0
10,126,55,126,55,0,0,0,0,0,0,0,0,0,0
11,165,81,165,81,0,0,0,0,0,0,0,0,0,0
12,235,119,235,119,0,0,0,0,0,0,0,0,0,0
13,322,170,322,170,0,0,0,0,0,0,0,0,0,0
14,420,235,420,235,0,0,0,0,0,0,0,0,0,0
15,544,318,544,318,0,0,0,0,0,0,0,0,0,0
16,811,453,811,453,0,0,0,0,0,0,0,0,0,0
17,1170,644,1170,644,0,0,0,0,0,0,0,0,0,0
18,1643,908,1643,908,0,0,0,0,0,0,0,0,0,0
19,2213,1256,2213,1256,0,0,0,0,0,0,0,0,0,0
20,3001,1730,3001,1730,0,0,0,0,0,0,0,0,0,0
21,4300,2430,4300,2430,0,0,0,0,0,0,0,0,0,0
22,5625,3298,5625,3298,0,0,0,0,0,0,0,0,0,0
23,7547,4482,7547,4482,0,0,0,0,0,0,0,0,0,0
24,10089,6061,10089,6061,0,0,0,0,0,0,0,0,0,0
25,14456,8413,14456,8413,0,0,0,0,0,0,0,0,0,0
26,20781,11802,20781,11802,0,0,0,0,0,0,0,0,0,0
27,26883,15925,26883,15925,0,0,0,0,0,0,0,0,0,0
28,34389,21162,34389,21162,0,0,0,0,0,0,0,0,0,0
29,44486,27984,44486,27984,0,0,0,0,0,0,0,0,0,0
30,58828,37131,58828,37131,0,0,0,0,0,0,0,0,0,0
