Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,1,0,0,0,0,0,0,0,0,0,0
4,7,1,7,1,0,0,0,0,0,0,0,0,0,0
5,14,3,14,3,0,0,0,0,0,0,0,0,0,0
6,30,6,30,6,0,0,0,0,0,0,0,0,0,0
7,60,13,60,13,0,0,0,0,0,0,0,0,0,0
8,83,26,83,26,0,0,0,0,0,0,0,0,0,0
9,121,46,121,46,0,0,0,0,0,0,0,0,0,0
10,177,75,177,75,0,0,0,0,0,0,0,0,0,0
11,264,119,264,119,0,0,0,0,0,0,0,0,0,0
12,373,179,373,179,0,0,0,0,0,0,0,0,0,0
13,521,263,521,263,0,0,0,0,0,0,0,0,0,0
14,736,382,736,382,0,0,0,0,0,0,0,0,0,0
15,1069,557,1069,557,0,0,0,0,0,0,0,0,0,0
16,1476,792,1476,792,0,0,0,0,0,0,0,0,0,0
17,2058,1122,2058,1122,0,0,0,0,0,0,0,0,0,0
18,2722,1545,2722,1545,0,0,0,0,0,0,0,0,0,0
19,3978,2199,3978,2199,0,0,0,0,0,0,0,0,0,0
20,5032,2960,5032,2960,0,0,0,0,0,0,0,0,0,0
21,7355,4170,7355,4170,0,0,0,0,0,0,0,0,0,0
22,10327,5832,10327,5832,0,0,0,0,0,0,0,0,0,0
23,15391,8389,15391,8389,0,0,0,0,0,0,0,0,0,0
24,20797,11664,20797,11664,0,0,0,0,0,0,0,0,0,0
25,28201,16115,28201,16115,0,0,0,0,0,0,0,0,0,0
26,37700,22014,37700,22014,0,0,0,0,0,0,0,0,0,0
27,48407,29404,48407,29404,0,0,0,0,0,0,0,0,0,0
28,63317,39182,63317,39182,0,0,0,0,0,0,0,0,0,0
29,94367,54859,94367,54859,0,0,0,0,0,0,0,0,0,0
30,135663,76979,135663,76979,0,0,0,0,0,0,0,0,0,0
31,189820,107476,189820,107476,0,0,0,0,0,0,0,0,0,0
32,280174,153792,280174,153792,0,0,0,0,0,0,0,0,0,0
33,404124,219801,404124,219801,0,0,0,0,0,0,0,0,0,0
34,588728,316467,588728,316467,0,0,0,0,0,0,0,0,0,0
35,832226,450933,832226,450933,0,0,0,0,0,0,0,0,0,0
36,1144477,633024,1144477,633024,0,0,0,0,0,0,0,0,0,0
37,1672768,908156,1672768,908156,0,0,0,0,0,0,0,0,0,0
38,2171923,1242041,2171923,1242041,0,0,0,0,0,0,0,0,0,0
39,2965978,1712045,2965978,1712045,0,0,0,0,0,0,0,0,0,0
40,4192706,2389474,4192706,2389474,0,0,0,0,0,0,0,0,0,0
41,5826184,3321932,5826184,3321932,0,0,0,0,0,0,0,0,0,0
42,8711310,4771486,8711310,4771486,0,0,0,0,0,0,0,0,0,0
43,11101693,6457996,11101693,6457996,0,0,0,0,0,0,0,0,0,0
44,14627589,8727182,14627589,8727182,0,0,0,0,0,0,0,0,0,0
45,20045648,11910145,20045646,11910145,0,0,0,0,0,0,2,0,0,0
46,29298719,16729120,29298716,16729119,0,0,0,0,0,0,3,1,0,0
47,39729065,22999045,39729058,22999044,0,0,0,0,0,0,7,1,0,0
48,58068012,32549912,58067991,32549909,2,0,2,0,0,0,17,3,0,0
49,80970050,45533921,80970004,45533912,4,1,7,1,0,0,35,7,0,0
50,119511812,65290612,119511723,65290593,8,2,12,2,0,0,69,15,0,0
51,176399493,94451493,176399302,94451453,17,3,23,5,0,0,151,32,0,0
52,235810894,131354272,235810585,131354186,38,8,52,11,0,0,217,67,2,0
53,320891523,182100779,320891040,182100623,66,15,101,22,0,0,312,118,4,1
54,408944320,244225400,408943539,244225128,92,30,224,47,0,0,456,193,9,2
55,368050297,285119932,368049184,285119482,124,49,331,101,0,0,640,296,18,4
56,331245823,321925097,331244265,321924400,166,75,492,183,0,0,863,431,37,8
57,298121899,355049838,298119836,355048827,247,116,649,284,4,0,1087,595,76,16
58,268310718,384862278,268307852,384860810,368,177,967,444,7,1,1417,813,107,33
59,241480945,411693676,241477066,411691596,503,257,1224,629,14,3,1991,1134,147,57
60,217334719,435842233,217329360,435839302,659,358,1689,899,31,6,2768,1577,212,91
61,195603698,457576314,195596422,457572238,907,503,2185,1234,61,13,3833,2189,290,137
62,176046896,477137564,176036779,477131880,1269,706,3175,1754,133,28,5106,2986,434,210
63,158447147,494743466,158433099,494735558,1794,996,4381,2452,279,59,6998,4097,596,304
64,142608952,510589812,142589789,510578868,2674,1440,5920,3385,355,113,9389,5570,825,436
65,128356819,524852896,128330810,524837847,3664,2022,7687,4566,480,188,12956,7635,1222,638
66,115534572,537691938,115497728,537670928,4827,2771,10538,6240,659,293,19186,10812,1634,894
67,104000808,549250318,103947954,549220701,7172,3960,15758,8862,982,456,26569,15056,2373,1283
68,93627893,559657190,93553158,559615496,10035,5573,22126,12423,1379,678,38068,21252,3127,1768
69,84295697,569027626,84197841,568970812,13128,7600,28728,16839,1804,956,49611,28896,4585,2523
70,75913556,577469054,75778055,577390596,17928,10441,38817,22953,2498,1355,70369,40287,5889,3422
71,68387872,585076828,68200249,584968402,25773,14643,57108,32378,3196,1842,94069,55008,7477,4555
72,263077,579150741,0,579000000,33217,19726,82647,45901,4441,2552,132525,76380,10247,6182
73,356962,579207097,0,579000000,47115,27352,120403,65670,5873,3466,169528,102197,14043,8412
74,462493,579278099,0,579000000,60269,36530,157487,89992,7739,4666,219304,135831,17694,11080
75,638470,579379905,0,579000000,87222,50802,215064,124072,10569,6341,302640,184078,22975,14612
76,908401,579527197,0,579000000,111993,67897,306080,173709,15752,8958,440886,256470,33690,20163
77,1238536,579723280,0,579000000,141649,89310,404760,236639,20604,12140,625354,357697,46169,27494
78,1728739,580000647,0,579000000,201596,122003,585769,332486,30808,17266,841977,490022,68589,38870
79,2291947,580357541,0,579000000,267558,163693,819608,464167,43698,24339,1073015,653029,88068,52313
80,2968457,580813161,0,579000000,347398,217098,1083850,632678,61561,34267,1352000,856902,123648,72216
81,3970626,581434760,0,579000000,437721,283103,1386461,843812,78749,46260,1891718,1160831,175977,100754
82,5353219,582276737,0,579000000,620864,383604,1893351,1143842,104895,62640,2510689,1552039,223420,134612
83,7138527,583392216,0,579000000,907456,532860,2521944,1537659,133678,82947,3247827,2050159,327622,188591
84,9787452,584946763,0,579000000,1291491,742301,3383440,2068276,186401,112837,4497591,2768579,428529,254770
85,13134529,587006964,0,579000000,1745063,1017130,4587945,2792332,276917,158767,5904438,3682489,620166,356246
86,18451077,589977917,0,579000000,2433316,1407326,6771807,3911791,358220,213707,8091442,4967295,796292,477798
87,24878923,593891263,0,579000000,3077658,1872576,8662496,5230939,535612,302832,11515740,6834800,1087417,650116
88,35254503,599595024,0,579000000,4586942,2634604,12037405,7157479,723720,416811,16499753,9520270,1406683,865860
89,47062972,606953955,0,579000000,6065773,3577680,15802705,9603479,1019577,581240,22294465,13031418,1880452,1160138
90,64585139,617217368,0,579000000,8982194,5065007,21883585,13099038,1470638,821452,29482201,17615160,2766521,1616711
91,84541735,630279661,0,579000000,12395427,7041090,28308604,17440741,2001245,1137933,38138174,23464429,3698285,2195468
92,114717042,648391202,1,579000000,16867698,9708586,37299416,23227019,2857779,1602222,52996806,31946358,4695342,2907017
93,157946377,673538169,1,579000000,23196459,13399239,50219932,31119576,4026041,2251510,74407514,43923636,6096430,3844208
94,213257262,707109186,2,579000000,30340966,18084923,71714063,42770600,5188762,3045445,98039341,59132532,7974128,5075686
95,298953942,755190515,1,579000000,42744355,24978391,91048174,56568386,7683520,4317730,146588422,83524720,10889470,6801288
96,399489028,817693530,1,579000000,60628591,34792495,127394605,77036015,10381974,5952783,186108659,111728333,14975198,9183904
97,565848329,909219484,1,579000000,84540506,48349048,183753977,107050184,14277290,8224359,263976519,154458880,19300036,12137013
98,782225928,1034044924,1,579000000,115854309,66745062,257990580,148578582,20387972,11536690,370623033,214117573,17370033,14067017
99,1010795433,1188965542,1,579000000,156542342,91398859,331259902,199144735,29701197,16413493,477658961,287204435,15633030,15804020
100,1314966050,1391357625,0,579000000,197243351,121141903,452368519,270829377,42555877,23339813,608728577,379679209,14069726,17367323
