Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,4,0,4,0,0,0,0,0,0,0,0,0,0,0
4,8,0,8,0,0,0,0,0,0,0,0,0,0,0
5,17,0,17,0,0,0,0,0,0,0,0,0,0,0
6,39,1,39,1,0,0,0,0,0,0,0,0,0,0
7,83,2,83,2,0,0,0,0,0,0,0,0,0,0
8,185,3,185,3,0,0,0,0,0,0,0,0,0,0
9,378,7,378,7,0,0,0,0,0,0,0,0,0,0
10,869,16,869,16,0,0,0,0,0,0,0,0,0,0
11,2067,37,2067,37,0,0,0,0,0,0,0,0,0,0
12,4429,82,4429,82,0,0,0,0,0,0,0,0,0,0
13,9015,173,9015,173,0,0,0,0,0,0,0,0,0,0
14,21455,389,21455,389,0,0,0,0,0,0,0,0,0,0
15,42650,820,42650,820,0,0,0,0,0,0,0,0,0,0
16,97453,1805,97453,1805,0,0,0,0,0,0,0,0,0,0
17,183309,3656,183309,3656,0,0,0,0,0,0,0,0,0,0
18,397069,7667,397069,7667,0,0,0,0,0,0,0,0,0,0
19,746886,15211,746886,15211,0,0,0,0,0,0,0,0,0,0
20,1449258,29850,1449258,29850,0,0,0,0,0,0,0,0,0,0
21,3518045,65386,3518045,65386,0,0,0,0,0,0,0,0,0,0
22,6784620,133918,6784620,133918,0,0,0,0,0,0,0,0,0,0
23,14293294,278294,14293294,278294,0,0,0,0,0,0,0,0,0,0
24,32828837,609899,32828837,609899,0,0,0,0,0,0,0,0,0,0
25,76961301,1387286,76961299,1387286,2,0,0,0,0,0,0,0,0,0
26,161221613,3015787,161221606,3015787,5,0,0,0,0,0,2,0,0,0
27,395192859,7007634,395192843,7007634,11,0,0,0,0,0,5,0,0,0
28,757442437,14658567,757442402,14658567,26,0,0,0,0,0,9,0,0,0
29,573210077,20448568,573210000,20448567,55,1,0,0,0,0,22,0,0,0
30,567478078,26180670,567477900,26180667,122,2,2,0,0,0,54,1,0,0
31,561803503,31855453,561803121,31855446,246,5,5,0,2,0,127,2,2,0
