Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,3,0,3,0,0,0,0,0,0,0,0,0,0,0
3,7,1,7,1,0,0,0,0,0,0,0,0,0,0
4,18,3,18,3,0,0,0,0,0,0,0,0,0,0
5,50,9,50,9,0,0,0,0,0,0,0,0,0,0
6,125,23,125,23,0,0,0,0,0,0,0,0,0,0
7,332,60,332,60,0,0,0,0,0,0,0,0,0,0
8,1017,172,1017,172,0,0,0,0,0,0,0,0,0,0
9,2507,451,2507,451,0,0,0,0,0,0,0,0,0,0
10,6994,1228,6994,1228,0,0,0,0,0,0,0,0,0,0
11,21654,3634,21654,3634,0,0,0,0,0,0,0,0,0,0
12,56127,9870,56127,9870,0,0,0,0,0,0,0,0,0,0
13,152553,26821,152553,26821,0,0,0,0,0,0,0,0,0,0
14,444844,76248,444844,76248,0,0,0,0,0,0,0,0,0,0
15,1321188,223047,1321188,223047,0,0,0,0,0,0,0,0,0,0
16,3971491,664323,3971491,664323,0,0,0,0,0,0,0,0,0,0
17,9936670,1768398,9936670,1768398,0,0,0,0,0,0,0,0,0,0
18,22536367,4272439,22536367,4272439,0,0,0,0,0,0,0,0,0,0
19,66933009,11709440,66933009,11709440,0,0,0,0,0,0,0,0,0,0
20,195176651,33395734,195176651,33395734,0,0,0,0,0,0,0,0,0,0
21,562108751,95852262,562108748,95852262,0,0,0,0,0,0,3,0,0,0
22,505897886,152063137,505897873,152063136,0,0,3,0,0,0,10,1,0,0
23,455308122,202652930,455308086,202652924,0,0,7,1,0,0,29,5,0,0
24,409777379,248183749,409777277,248183732,0,0,25,4,0,0,77,13,0,0
25,368799817,289161507,368799549,289161460,0,0,57,10,0,0,211,37,0,0
26,331920343,326041544,331919594,326041415,0,0,173,29,3,0,573,100,0,0
27,298729855,359233750,298727635,359233374,0,0,438,78,8,1,1774,297,0,0
28,268859961,389107080,268854871,389106138,0,0,1011,190,24,4,4055,748,0,0
29,241984952,415994296,241969384,415991625,0,0,2878,510,60,10,12630,2151,0,0
30,217813676,440195816,217772446,440188563,0,0,7874,1385,164,29,33192,5839,0,0
31,196105998,461985372,195995201,461965808,0,0,23670,4015,496,84,86631,15465,0,0
32,176659670,481614223,176395681,481565328,3,0,63057,11021,1332,232,199597,37642,0,0
33,159409536,499326394,158756113,499204896,7,1,194093,32587,3045,570,456278,88340,0,0
34,144564630,515389131,142880502,515080508,18,3,510076,89262,7784,1435,1166250,217923,0,0
35,133454653,530217425,128592452,529368558,44,8,1441477,249426,19895,3645,3400785,595788,0,0
36,128454079,544490101,115733206,542227803,137,23,4151452,710699,60520,10370,8508764,1541206,0,0
37,136905428,559701816,104159886,553801124,401,68,10386936,1864803,150331,27073,22207874,4008748,0,0
38,181536926,579872585,93743897,564217112,1031,182,23370605,4461537,462717,78486,63958676,11115268,0,0
39,297942208,612977275,84369507,573591502,2452,455,58052586,10911824,1249337,217301,154268326,28256193,0,0
